title,cleaned_title,tokenized_title,processed_title,category,sentiment,url
ஆசிய கோப்பை| முதல்முறையாக களமிறங்கும் ஓமன் அணி.. யாருக்கு வில்லனாக அமையும்?,ஆசிய கோப்பை முதல்முறையாக களமிறங்கும் ஓமன் அணி யாருக்கு வில்லனாக அமையும்,ஆசிய கோப்பை முதல்முறையாக களமிறங்கும் ஓமன் அணி யாருக்கு வில்லனாக அமையும்,ஆசிய கோப்பை முதல்முறையாக களமிறங்கும் ஓமன் அணி யாரு வில்லனாக அமையும்,கிரிக்கெட்,Neutral,https://www.puthiyathalaimurai.com/sports/cricket/oman-cricket-team-make-debut-season-in-asia-cup
"புதிய தலைமுறை Live Updates - March 21, 2024",புதிய தலைமுறை,புதிய தலைமுறை,புதிய தலைமுறை,live updates,Neutral,https://www.puthiyathalaimurai.com/trending/live-updates/புதிய-தலைமுறை-live-updates-march-21-2024
வெப்பத்தில் தகிக்கும் சென்னை.. அது என்ன ”வெட் பல்ப்” ? - நிபுணர்கள் விடுக்கும் அபாய எச்சரிக்கை என்ன?,வெப்பத்தில் தகிக்கும் சென்னை அது என்ன ”வெட் பல்ப்” நிபுணர்கள் விடுக்கும் அபாய எச்சரிக்கை என்ன,வெப்பத்தில் தகிக்கும் சென்னை அது என்ன ”வெட் பல்ப்” நிபுணர்கள் விடுக்கும் அபாய எச்சரிக்கை என்ன,வெப்பத்தில் தகிக்கும் சென்னை ”வெட் பல்ப்” நிபுணர் விடுக்கும் அபாய எச்சரிக்கை,சுற்றுச்சூழல்,Neutral,https://www.puthiyathalaimurai.com/environment/what-is-the-wet-bulb-temperature-what-danger-behind-increasing-heat-in-chennai
“எதாவது ஒரு கோட்டாவுல உள்ள  நுழஞ்சிடுறானுக..” - செல்வராகவனின் பேசப்படாத காத்திரமான அரசியல் உலகம்!,“எதாவது ஒரு கோட்டாவுல உள்ள நுழஞ்சிடுறானுக ” செல்வராகவனின் பேசப்படாத காத்திரமான அரசியல் உலகம்,“எதாவது ஒரு கோட்டாவுல உள்ள நுழஞ்சிடுறானுக ” செல்வராகவனின் பேசப்படாத காத்திரமான அரசியல் உலகம்,“எதாவது கோட்டாவுல நுழஞ்சிடுறானுக ” செல்வராகவனின் பேசப்படாத காத்திரமான அரசியல் உலகம்,சிறப்புக் களம்,Neutral,https://www.puthiyathalaimurai.com/features/working-class-and-middle-class-back-ground-heros-selvaraghavan-characters-from-kadhal-konden-to-mayakkam-enna
"ஆகஸ்ட் 06, 2025 | இன்றைய ராசிபலன்கள்!",ஆகஸ்ட் இன்றைய ராசிபலன்கள்,ஆகஸ்ட் இன்றைய ராசிபலன்கள்,ஆகஸ்ட் இன்றைய ராசிபலன்,ஆன்மீகம்,Neutral,https://www.puthiyathalaimurai.com/spiritual/today-06-08-2025-rasi-palan
’தம்மாதுண்டு ஆங்கர்தான்..’ அமெரிக்க செஸ் கிராண்ட்மாஸ்டரை வீழ்த்திய 9 வயது இந்திய சிறுவன்! #NewRecord,’தம்மாதுண்டு ஆங்கர்தான் ’ அமெரிக்க செஸ் கிராண்ட்மாஸ்டரை வீழ்த்திய வயது இந்திய சிறுவன்,’தம்மாதுண்டு ஆங்கர்தான் ’ அமெரிக்க செஸ் கிராண்ட்மாஸ்டரை வீழ்த்திய வயது இந்திய சிறுவன்,’தம்மாதுண்டு ஆங்கர்தான் ’ அமெரிக்க செஸ் கிராண்ட்மாஸ்டரை வீழ்த்திய வயது இந்திய சிறுவன்,செஸ்,Positive,https://www.puthiyathalaimurai.com/sports/chess/9-year-old-indian-boy-aarit-kapil-defeated-the-chess-grandmaster
ஆப்கனில் மாற்றம்? | 45 வயது நபருக்கு 6 வயது சிறுமி திருமணம்.. தடுத்து நிறுத்திய தாலிபன்கள்!,ஆப்கனில் மாற்றம் வயது நபருக்கு வயது சிறுமி திருமணம் தடுத்து நிறுத்திய தாலிபன்கள்,ஆப்கனில் மாற்றம் வயது நபருக்கு வயது சிறுமி திருமணம் தடுத்து நிறுத்திய தாலிபன்கள்,ஆப்கனில் மாற்றம் வயது நபரு வயது சிறுமி திருமணம் தடுத்து நிறுத்திய தாலிபன்,உலகம்,Negative,https://www.puthiyathalaimurai.com/world/taliban-halts-45-year-old-afghan-mans-marriage-to-6-year-old-girls
இளம் வயதினரிடையே அதிகரிக்கும் புற்றுநோய்.. HPV வைரஸே காரணம்!,இளம் வயதினரிடையே அதிகரிக்கும் புற்றுநோய் வைரஸே காரணம்,இளம் வயதினரிடையே அதிகரிக்கும் புற்றுநோய் வைரஸே காரணம்,இளம் வயதினரிடையே அதிகரிக்கும் புற்றுநோய் வைரஸே காரணம்,ஹெல்த்,Negative,https://www.puthiyathalaimurai.com/health/doctors-warn-hpv-emerging-as-leading-cause-of-cancer-in-young-indians
காபா டெஸ்ட் | பும்ரா விக்கெட் வேட்டை... சதம் கடந்த ஹெட் மற்றும் ஸ்மித்.. வலுவான நிலையில் ஆஸி..,காபா டெஸ்ட் பும்ரா விக்கெட் வேட்டை சதம் கடந்த ஹெட் மற்றும் ஸ்மித் வலுவான நிலையில் ஆஸி,காபா டெஸ்ட் பும்ரா விக்கெட் வேட்டை சதம் கடந்த ஹெட் மற்றும் ஸ்மித் வலுவான நிலையில் ஆஸி,காபா டெஸ்ட் பும்ரா விக்கெட் வேட்டை சதம் கட ஹெட் ஸ்மித் வலுவான நிலையில் ஆஸி,கிரிக்கெட்,Positive,https://www.puthiyathalaimurai.com/sports/cricket/travis-head-and-smith-hit-centuries-against-india-at-the-gabba-test
எல்ஐசி பாலிசிதாரர்களுக்கு ஒரு சர்ப்ரைஸ்.. என்ன தெரியுமா?,எல்ஐசி பாலிசிதாரர்களுக்கு ஒரு சர்ப்ரைஸ் என்ன தெரியுமா,எல்ஐசி பாலிசிதாரர்களுக்கு ஒரு சர்ப்ரைஸ் என்ன தெரியுமா,எல்ஐசி பாலிசிதாரர் சர்ப்ரைஸ் தெரியுமா,இந்தியா,Neutral,https://www.puthiyathalaimurai.com/india/lic-policy-revival-scheme-2025-starts-for-late-fee-waiver-on-lapsed-policies-up-to-30
200 சதுரடியில் 25 லட்சம் ரூபாய் செலவில் கட்டப்பட்ட செம Compact வீடு!,சதுரடியில் லட்சம் ரூபாய் செலவில் கட்டப்பட்ட செம வீடு,சதுரடியில் லட்சம் ரூபாய் செலவில் கட்டப்பட்ட செம வீடு,சதுரடியில் லட்சம் ரூபாய் செலவில் கட்டப்ப செம வீடு,சிறப்புக் களம்,Neutral,https://www.puthiyathalaimurai.com/features/a-200-sq-ft-small-house-built-at-a-cost-of-rs-25-lakhs
அடுத்த நொடியே மறுத்த ஈரான்.. “போரை நிறுத்திவிட்டேன்” எனக் கூறி மீண்டும் மூக்குடைபட்ட ட்ரம்ப்!,அடுத்த நொடியே மறுத்த ஈரான் “போரை நிறுத்திவிட்டேன்” எனக் கூறி மீண்டும் மூக்குடைபட்ட ட்ரம்ப்,அடுத்த நொடியே மறுத்த ஈரான் “போரை நிறுத்திவிட்டேன்” எனக் கூறி மீண்டும் மூக்குடைபட்ட ட்ரம்ப்,நொடியே மறு ஈரான் “போரை நிறுத்திவிட்டேன்” கூறி மீண்டும் மூக்குடைப ட்ரம்ப்,உலகம்,Neutral,https://www.puthiyathalaimurai.com/world/irans-imporatant-announcement-about-conflict
Weather update| தமிழகத்தில் ஓரிரு இடங்களில் இன்று மழை பெய்ய வாய்ப்பு - வானிலை மையம் தகவல்!,தமிழகத்தில் ஓரிரு இடங்களில் இன்று மழை பெய்ய வாய்ப்பு வானிலை மையம் தகவல்,தமிழகத்தில் ஓரிரு இடங்களில் இன்று மழை பெய்ய வாய்ப்பு வானிலை மையம் தகவல்,தமிழகத்தில் ஓரிரு இடங் இன்று மழை பெய்ய வாய்ப்பு வானிலை மையம் தகவல்,தமிழ்நாடு,Neutral,https://www.puthiyathalaimurai.com/tamilnadu/chance-of-rain-in-a-few-places-in-tamil-nadu-today-meteorological-department
தினமும் சிகப்பு இறைச்சி சாப்பிட்டால் என்ன நடக்கும் தெரியுமா? - மருத்துவர் மோகன் விளக்கம்!,தினமும் சிகப்பு இறைச்சி சாப்பிட்டால் என்ன நடக்கும் தெரியுமா மருத்துவர் மோகன் விளக்கம்,தினமும் சிகப்பு இறைச்சி சாப்பிட்டால் என்ன நடக்கும் தெரியுமா மருத்துவர் மோகன் விளக்கம்,தினமும் சிகப்பு இறைச்சி சாப்பிட்டால் தெரியுமா மருத்துவர் மோகன் விளக்கம்,ஹெல்த்,Neutral,https://www.puthiyathalaimurai.com/health/do-you-know-diabetes-chances-increase-when-you-eat-red-meat-regularly
வீட்டில் செல்வம் சேரவேண்டுமா... இதை எல்லாம் கடைபிடியுங்கள்..! #Spiritual,வீட்டில் செல்வம் சேரவேண்டுமா இதை எல்லாம் கடைபிடியுங்கள்,வீட்டில் செல்வம் சேரவேண்டுமா இதை எல்லாம் கடைபிடியுங்கள்,வீட்டில் செல்வம் சேரவேண்டுமா கடைபிடியுங்,கதைகள்,Neutral,https://www.puthiyathalaimurai.com/spiritual/story/spiritual-belief-to-save-money
ஆசிய கோப்பை ஹாக்கி| சீனாவை 7-0 என வீழ்த்தியது இந்தியா.. இறுதிப்போட்டிக்கு தகுதி!,ஆசிய கோப்பை ஹாக்கி சீனாவை என வீழ்த்தியது இந்தியா இறுதிப்போட்டிக்கு தகுதி,ஆசிய கோப்பை ஹாக்கி சீனாவை என வீழ்த்தியது இந்தியா இறுதிப்போட்டிக்கு தகுதி,ஆசிய கோப்பை ஹாக்கி சீனாவை வீழ்த்தியது இந்தியா இறுதிப்போட்டி தகுதி,விளையாட்டு,Positive,https://www.puthiyathalaimurai.com/sports/india-hockey-team-qualified-for-asia-cup-final-2025
டென்னிஸ் உலகை அதிரவைத்த சம்பவங்கள்.. மோனிகா செலஸ் - ஒவ்வொருக்குமான பாடம்!!,டென்னிஸ் உலகை அதிரவைத்த சம்பவங்கள் மோனிகா செலஸ் ஒவ்வொருக்குமான பாடம்,டென்னிஸ் உலகை அதிரவைத்த சம்பவங்கள் மோனிகா செலஸ் ஒவ்வொருக்குமான பாடம்,டென்னிஸ் உலகை அதிரவை சம்பவங் மோனிகா செலஸ் ஒவ்வொருக்குமான பாடம்,விளையாட்டு,Positive,https://www.puthiyathalaimurai.com/sports/three-re-sets-in-monica-seles-tennis-career
உலகக் கோப்பை கால்பந்து திருவிழா: நேற்றையப் போட்டியில் எந்தெந்த அணிகள் வெற்றி?,உலகக் கோப்பை கால்பந்து திருவிழா நேற்றையப் போட்டியில் எந்தெந்த அணிகள் வெற்றி,உலகக் கோப்பை கால்பந்து திருவிழா நேற்றையப் போட்டியில் எந்தெந்த அணிகள் வெற்றி,உலகக் கோப்பை கால்பந்து திருவிழா நேற்றையப் போட்டியில் எந்தெ அணி வெற்றி,விளையாட்டு,Neutral,https://www.puthiyathalaimurai.com/sports/world-cup-football-festival-senegal-beats-qatar
ரன் மெஷின் 2.0.. 23 வயதில் இந்திய டெஸ்ட் அணியில் இடம்! யார் இந்த சாய் சுதர்சன்?,ரன் மெஷின் வயதில் இந்திய டெஸ்ட் அணியில் இடம் யார் இந்த சாய் சுதர்சன்,ரன் மெஷின் வயதில் இந்திய டெஸ்ட் அணியில் இடம் யார் இந்த சாய் சுதர்சன்,ரன் மெஷின் வயதில் இந்திய டெஸ்ட் அணியில் சாய் சுதர்சன்,t20,Neutral,https://www.puthiyathalaimurai.com/sports/t20/indian-test-cricket-cap-at-the-age-of-23-who-is-this-sai-sudharsan
பெங்களூரு | திருமண நாளுக்கு பரிசு தரவில்லை... கணவனை கத்தியால் குத்திய மனைவி!,பெங்களூரு திருமண நாளுக்கு பரிசு தரவில்லை கணவனை கத்தியால் குத்திய மனைவி,பெங்களூரு திருமண நாளுக்கு பரிசு தரவில்லை கணவனை கத்தியால் குத்திய மனைவி,பெங்களூரு திருமண நாளு பரிசு தரவில்லை கணவனை கத்தியால் குத்திய மனைவி,குற்றம்,Negative,https://www.puthiyathalaimurai.com/crime/bengaluru-wife-stabbed-her-husband-for-not-giving-present-on-wedding-day
பாகிஸ்தானின் எதிர்கால திட்டம் | இந்தியாவுக்கு பலூச் எச்சரிக்கை!,பாகிஸ்தானின் எதிர்கால திட்டம் இந்தியாவுக்கு பலூச் எச்சரிக்கை,பாகிஸ்தானின் எதிர்கால திட்டம் இந்தியாவுக்கு பலூச் எச்சரிக்கை,பாகிஸ்தானின் எதிர்கால திட்டம் இந்தியாவு பலூச் எச்சரிக்கை,உலகம்,Neutral,https://www.puthiyathalaimurai.com/world/bla-hits-says-on-pakistan-feature-planing
"""இப்படி தூங்கினால்கூட மாரடைப்பு ஏற்படும்"" - ஆராய்ச்சி சொல்லும் பகீர் தகவல்",இப்படி தூங்கினால்கூட மாரடைப்பு ஏற்படும் ஆராய்ச்சி சொல்லும் பகீர் தகவல்,இப்படி தூங்கினால்கூட மாரடைப்பு ஏற்படும் ஆராய்ச்சி சொல்லும் பகீர் தகவல்,இப் தூங்கினால்கூட மாரடைப்பு ஆராய்ச்சி சொல்லும் பகீர் தகவல்,டிரெண்டிங்,Negative,https://www.puthiyathalaimurai.com/trending/research-suggests-that-even-sleeping-can-lead-to-heart-attacks
"விடாது பெய்யும் அடை மழை:  திருவாரூர், மயிலாடுதுறையில் விவசாயம் பாதிப்பு",விடாது பெய்யும் அடை மழை திருவாரூர் மயிலாடுதுறையில் விவசாயம் பாதிப்பு,விடாது பெய்யும் அடை மழை திருவாரூர் மயிலாடுதுறையில் விவசாயம் பாதிப்பு,விடாது பெய்யும் அடை மழை திருவாரூர் மயிலாடுதுறையில் விவசாயம் பாதிப்பு,விவசாயம்,Negative,https://www.puthiyathalaimurai.com/agriculture/agriculture-in-districts-including-thiruvarur-and-mayiladuthurai-has-been-affected-by-the-continuous-heavy-rains-in-tamil-nadu
அம்பானி பேசுவது போன்ற போலி வீடியோ.. 33 லட்சத்தை இழந்ததாக காங்கிரஸ் நிர்வாகி புகார்!,அம்பானி பேசுவது போன்ற போலி வீடியோ லட்சத்தை இழந்ததாக காங்கிரஸ் நிர்வாகி புகார்,அம்பானி பேசுவது போன்ற போலி வீடியோ லட்சத்தை இழந்ததாக காங்கிரஸ் நிர்வாகி புகார்,அம்பானி பேசுவது போலி வீடியோ லட்சத்தை இழந்ததாக காங்கிரஸ் நிர்வாகி புகார்,டெக்,Negative,https://www.puthiyathalaimurai.com/technology/congress-executive-loses-rs-33-lakh-after-watching-fake-video
சத்தியமங்கலம்: இரவு நேரத்தில் வாகனங்களை வழிமறித்த காட்டு யானைகள் - வாகன ஓட்டிகள் அச்சம்,சத்தியமங்கலம் இரவு நேரத்தில் வாகனங்களை வழிமறித்த காட்டு யானைகள் வாகன ஓட்டிகள் அச்சம்,சத்தியமங்கலம் இரவு நேரத்தில் வாகனங்களை வழிமறித்த காட்டு யானைகள் வாகன ஓட்டிகள் அச்சம்,சத்தியமங்கலம் இரவு நேரத்தில் வாகனங் வழிமறி காட்டு யானை வாகன ஓட்டி அச்சம்,சுற்றுச்சூழல்,Neutral,https://www.puthiyathalaimurai.com/environment/satyamangalam-wild-elephants-stray-from-vehicles-at-night-fear-of-motorists
🔴#INDvsNZ | 1st Semi-Final - நியூசி. பழிதீர்த்து 4வது முறையாக இறுதிப்போட்டிக்குள் நுழைந்த இந்தியா!,🔴 நியூசி பழிதீர்த்து வது முறையாக இறுதிப்போட்டிக்குள் நுழைந்த இந்தியா,🔴 நியூசி பழிதீர்த்து வது முறையாக இறுதிப்போட்டிக்குள் நுழைந்த இந்தியா,🔴 நியூசி பழிதீர்த்து வது முறையாக இறுதிப்போட்டிக்குள் நுழை இந்தியா,live updates,Neutral,https://www.puthiyathalaimurai.com/trending/live-updates/india-vs-new-zealand-1st-semi-final-1st-v-4th-live-cricket-score
ஃபேஷன் உலகின் புதிய ட்ரெண்ட்.. வெள்ளை உடைகளுக்கு பெருகும் மவுஸ்!,ஃபேஷன் உலகின் புதிய ட்ரெண்ட் வெள்ளை உடைகளுக்கு பெருகும் மவுஸ்,ஃபேஷன் உலகின் புதிய ட்ரெண்ட் வெள்ளை உடைகளுக்கு பெருகும் மவுஸ்,ஃபேஷன் உலகின் புதிய ட்ரெண்ட் வெள்ளை உடை பெருகும் மவுஸ்,டிரெண்டிங்,Neutral,https://www.puthiyathalaimurai.com/trending/women-celebrities-wearing-white-shirts-is-the-new-fashion-trend
காசாவில் நிலவுவது வெறும் பசியல்ல.. உயிரை குடிக்கும் கொடூரம்! பட்டினியில் 23 லட்சம் மக்கள்!,காசாவில் நிலவுவது வெறும் பசியல்ல உயிரை குடிக்கும் கொடூரம் பட்டினியில் லட்சம் மக்கள்,காசாவில் நிலவுவது வெறும் பசியல்ல உயிரை குடிக்கும் கொடூரம் பட்டினியில் லட்சம் மக்கள்,காசாவில் நிலவுவது வெறும் பசியல்ல உயிரை குடிக்கும் கொடூரம் பட்டினியில் லட்சம் மக்,உலகம்,Negative,https://www.puthiyathalaimurai.com/world/un-said-23-million-people-starving-in-gaza
2026இல் RCBக்கு தடையா? பரவும் தகவலால் அதிர்ச்சியில் ரசிகர்கள்!!!,இல் க்கு தடையா பரவும் தகவலால் அதிர்ச்சியில் ரசிகர்கள்,இல் க்கு தடையா பரவும் தகவலால் அதிர்ச்சியில் ரசிகர்கள்,க் தடையா பரவும் தகவலால் அதிர்ச்சியில் ரசிகர்,t20,Negative,https://www.puthiyathalaimurai.com/sports/t20/rcb-may-be-banned-from-ipl-2026-due-to-bengaluru-stampede
