title|url|category|S_Label
ஒரே ஒரு சிப்ஸ் கேட்ட காதலன்.. கோர்ட் தண்டனை பெறப்போகும் காதலி! ஆஸி.,யில் நடந்த நூதன சண்டை!|https://www.puthiyathalaimurai.com/trending/woman-accused-of-trying-to-run-down-boyfriend-in-adelaide-faces-court|டிரெண்டிங்|Negative
திருமண வரவேற்பில் கலந்துகொண்ட மும்பை தாதா தாவூத் இப்ராஹிமின் உறவினர் சுட்டுக்கொலை|https://www.puthiyathalaimurai.com/crime/davood-mumbai-ibrahims-relative-was-shot-dead-while-attending-a-wedding-reception-in-mumbai|குற்றம்|Neutral
"ஆசிய கோப்பை| முதல்முறையாக களமிறங்கும் ஓமன் அணி.. யாருக்கு வில்லனாக அமையும்?"|https://www.puthiyathalaimurai.com/sports/cricket/oman-cricket-team-make-debut-season-in-asia-cup|கிரிக்கெட்|Neutral
புதிய தலைமுறை Live Updates - March 21, 2024|https://www.puthiyathalaimurai.com/trending/live-updates/புதிய-தலைமுறை-live-updates-march-21-2024|live updates|Neutral
வெப்பத்தில் தகிக்கும் சென்னை.. அது என்ன ”வெட் பல்ப்” ? - நிபுணர்கள் விடுக்கும் அபாய எச்சரிக்கை என்ன?|https://www.puthiyathalaimurai.com/environment/what-is-the-wet-bulb-temperature-what-danger-behind-increasing-heat-in-chennai|சுற்றுச்சூழல்|Neutral
“எதாவது ஒரு கோட்டாவுல உள்ள  நுழஞ்சிடுறானுக..” - செல்வராகவனின் பேசப்படாத காத்திரமான அரசியல் உலகம்!|https://www.puthiyathalaimurai.com/features/working-class-and-middle-class-back-ground-heros-selvaraghavan-characters-from-kadhal-konden-to-mayakkam-enna|சிறப்புக் களம்|Neutral
"ஆகஸ்ட் 06, 2025 | இன்றைய ராசிபலன்கள்!"|https://www.puthiyathalaimurai.com/spiritual/today-06-08-2025-rasi-palan|ஆன்மீகம்|Neutral
’தம்மாதுண்டு ஆங்கர்தான்..’ அமெரிக்க செஸ் கிராண்ட்மாஸ்டரை வீழ்த்திய 9 வயது இந்திய சிறுவன்! #NewRecord|https://www.puthiyathalaimurai.com/sports/chess/9-year-old-indian-boy-aarit-kapil-defeated-the-chess-grandmaster|செஸ்|Positive
"ஆப்கனில் மாற்றம்? | 45 வயது நபருக்கு 6 வயது சிறுமி திருமணம்.. தடுத்து நிறுத்திய தாலிபன்கள்!"|https://www.puthiyathalaimurai.com/world/taliban-halts-45-year-old-afghan-mans-marriage-to-6-year-old-girls|உலகம்|Negative
இளம் வயதினரிடையே அதிகரிக்கும் புற்றுநோய்.. HPV வைரஸே காரணம்!|https://www.puthiyathalaimurai.com/health/doctors-warn-hpv-emerging-as-leading-cause-of-cancer-in-young-indians|ஹெல்த்|Negative
"காபா டெஸ்ட் | பும்ரா விக்கெட் வேட்டை... சதம் கடந்த ஹெட் மற்றும் ஸ்மித்.. வலுவான நிலையில் ஆஸி.."|https://www.puthiyathalaimurai.com/sports/cricket/travis-head-and-smith-hit-centuries-against-india-at-the-gabba-test|கிரிக்கெட்|Positive
எல்ஐசி பாலிசிதாரர்களுக்கு ஒரு சர்ப்ரைஸ்.. என்ன தெரியுமா?|https://www.puthiyathalaimurai.com/india/lic-policy-revival-scheme-2025-starts-for-late-fee-waiver-on-lapsed-policies-up-to-30|இந்தியா|Neutral
200 சதுரடியில் 25 லட்சம் ரூபாய் செலவில் கட்டப்பட்ட செம Compact வீடு!|https://www.puthiyathalaimurai.com/features/a-200-sq-ft-small-house-built-at-a-cost-of-rs-25-lakhs|சிறப்புக் களம்|Neutral
அடுத்த நொடியே மறுத்த ஈரான்.. “போரை நிறுத்திவிட்டேன்” எனக் கூறி மீண்டும் மூக்குடைபட்ட ட்ரம்ப்!|https://www.puthiyathalaimurai.com/world/irans-imporatant-announcement-about-conflict|உலகம்|Neutral
"Weather update| தமிழகத்தில் ஓரிரு இடங்களில் இன்று மழை பெய்ய வாய்ப்பு - வானிலை மையம் தகவல்!"|https://www.puthiyathalaimurai.com/tamilnadu/chance-of-rain-in-a-few-places-in-tamil-nadu-today-meteorological-department|தமிழ்நாடு|Neutral
தினமும் சிகப்பு இறைச்சி சாப்பிட்டால் என்ன நடக்கும் தெரியுமா? - மருத்துவர் மோகன் விளக்கம்!|https://www.puthiyathalaimurai.com/health/do-you-know-diabetes-chances-increase-when-you-eat-red-meat-regularly|ஹெல்த்|Neutral
வீட்டில் செல்வம் சேரவேண்டுமா... இதை எல்லாம் கடைபிடியுங்கள்..! #Spiritual|https://www.puthiyathalaimurai.com/spiritual/story/spiritual-belief-to-save-money|கதைகள்|Neutral
"ஆசிய கோப்பை ஹாக்கி| சீனாவை 7-0 என வீழ்த்தியது இந்தியா.. இறுதிப்போட்டிக்கு தகுதி!"|https://www.puthiyathalaimurai.com/sports/india-hockey-team-qualified-for-asia-cup-final-2025|விளையாட்டு|Positive
டென்னிஸ் உலகை அதிரவைத்த சம்பவங்கள்.. மோனிகா செலஸ் - ஒவ்வொருக்குமான பாடம்!!|https://www.puthiyathalaimurai.com/sports/three-re-sets-in-monica-seles-tennis-career|விளையாட்டு|Positive
உலகக் கோப்பை கால்பந்து திருவிழா: நேற்றையப் போட்டியில் எந்தெந்த அணிகள் வெற்றி?|https://www.puthiyathalaimurai.com/sports/world-cup-football-festival-senegal-beats-qatar|விளையாட்டு|Neutral
ரன் மெஷின் 2.0.. 23 வயதில் இந்திய டெஸ்ட் அணியில் இடம்! யார் இந்த சாய் சுதர்சன்?|https://www.puthiyathalaimurai.com/sports/t20/indian-test-cricket-cap-at-the-age-of-23-who-is-this-sai-sudharsan|t20|Neutral
"பெங்களூரு | திருமண நாளுக்கு பரிசு தரவில்லை... கணவனை கத்தியால் குத்திய மனைவி!"|https://www.puthiyathalaimurai.com/crime/bengaluru-wife-stabbed-her-husband-for-not-giving-present-on-wedding-day|குற்றம்|Negative
"பாகிஸ்தானின் எதிர்கால திட்டம் | இந்தியாவுக்கு பலூச் எச்சரிக்கை!"|https://www.puthiyathalaimurai.com/world/bla-hits-says-on-pakistan-feature-planing|உலகம்|Neutral
"""இப்படி தூங்கினால்கூட மாரடைப்பு ஏற்படும்"" - ஆராய்ச்சி சொல்லும் பகீர் தகவல்"|https://www.puthiyathalaimurai.com/trending/research-suggests-that-even-sleeping-can-lead-to-heart-attacks|டிரெண்டிங்|Negative
விடாது பெய்யும் அடை மழை:  திருவாரூர், மயிலாடுதுறையில் விவசாயம் பாதிப்பு|https://www.puthiyathalaimurai.com/agriculture/agriculture-in-districts-including-thiruvarur-and-mayiladuthurai-has-been-affected-by-the-continuous-heavy-rains-in-tamil-nadu|விவசாயம்|Negative
அம்பானி பேசுவது போன்ற போலி வீடியோ.. 33 லட்சத்தை இழந்ததாக காங்கிரஸ் நிர்வாகி புகார்!|https://www.puthiyathalaimurai.com/technology/congress-executive-loses-rs-33-lakh-after-watching-fake-video|டெக்|Negative
சத்தியமங்கலம்: இரவு நேரத்தில் வாகனங்களை வழிமறித்த காட்டு யானைகள் - வாகன ஓட்டிகள் அச்சம்|https://www.puthiyathalaimurai.com/environment/satyamangalam-wild-elephants-stray-from-vehicles-at-night-fear-of-motorists|சுற்றுச்சூழல்|Neutral
"🔴#INDvsNZ | 1st Semi-Final - நியூசி. பழிதீர்த்து 4வது முறையாக இறுதிப்போட்டிக்குள் நுழைந்த இந்தியா!"|https://www.puthiyathalaimurai.com/trending/live-updates/india-vs-new-zealand-1st-semi-final-1st-v-4th-live-cricket-score|live updates|Neutral
ஃபேஷன் உலகின் புதிய ட்ரெண்ட்.. வெள்ளை உடைகளுக்கு பெருகும் மவுஸ்!|https://www.puthiyathalaimurai.com/trending/women-celebrities-wearing-white-shirts-is-the-new-fashion-trend|டிரெண்டிங்|Neutral
காசாவில் நிலவுவது வெறும் பசியல்ல.. உயிரை குடிக்கும் கொடூரம்! பட்டினியில் 23 லட்சம் மக்கள்!|https://www.puthiyathalaimurai.com/world/un-said-23-million-people-starving-in-gaza|உலகம்|Negative
2026இல் RCBக்கு தடையா? பரவும் தகவலால் அதிர்ச்சியில் ரசிகர்கள்!!!|https://www.puthiyathalaimurai.com/sports/t20/rcb-may-be-banned-from-ipl-2026-due-to-bengaluru-stampede|t20|Negative
யானையல்ல.. குதிரை! மீண்டும் மீண்டும் நிரூபித்த சூப்பர் ஸ்டார்.. ரஜினியின் வியத்தகு திரைப்பயணம்!|https://www.puthiyathalaimurai.com/cinema/actor-rajinikanth-birthday-special|சினிமா|Positive
கிருஷ்ணகிரி: பள்ளி மாணவிகளுக்கு பாலியல் தொல்லை – ஆசிரியர் உட்பட இருவர் சஸ்பெண்ட்|https://www.puthiyathalaimurai.com/crime/krishnagiri-sexual-harassment-of-schoolgirls-two-including-teacher-suspended|குற்றம்|Negative
புதிய தலைமுறை Live Updates - April 08, 2024|https://www.puthiyathalaimurai.com/trending/live-updates/புதிய-தலைமுறை-live-updates-april-08-2024|live updates|Neutral
”மது முதல் ஆன்லைன் சேட்டிங் வரை” போதை பழக்கம் எதனால் ஏற்படுகிறது? எதெல்லாம் போதை?|https://www.puthiyathalaimurai.com/environment/what-causes-one-into-addiction|சுற்றுச்சூழல்|Neutral
”ரூ2 கோடி நன்கொடை”.. காஜிப்பள்ளி வனத்தை தத்தெடுத்தார் நடிகர் பிரபாஸ்|https://www.puthiyathalaimurai.com/environment/actor-prabhas-adopted-khajipalli-forest--given-2-core-donatation|சுற்றுச்சூழல்|Neutral
90 நாள் நிறுத்திவைப்பு... 10% தள்ளுபடி... 10% உயரும் பங்குகள்... இனி பங்குச்சந்தைக்கு பொற்காலமா..?|https://www.puthiyathalaimurai.com/business/market/stocks-rise-after-trump-halts-tariffs|மார்க்கெட்|Positive
ரூ.2.82 லட்சம் கோடிக்கு எக்ஸ் தளத்தை விற்ற எலான் மஸ்க்.. யாருக்கு தெரியுமா?|https://www.puthiyathalaimurai.com/world/elon-musk-sold-x-platform-for-rs-282-lakh-crore|உலகம்|Neutral
இந்தியாவில் கார் உற்பத்தி ஆலை அமைக்க டெஸ்லா முனைப்பு! எலான் மஸ்க்கின் திட்டம் என்ன?|https://www.puthiyathalaimurai.com/motor/car/elon-musk-s-electric-car-factory-in-india-plan-gathers-speed|கார்|Neutral
Freedom to Kaliyugam இந்த வார ஓடிடி தியேட்டர் லிஸ்ட் இதோ..!|https://www.puthiyathalaimurai.com/cinema/ott-thiraiparvai/freedom-to-kaliyugam-this-week-movie-release|ஓடிடி திரைப் பார்வை|Neutral
"ஒரு வணிகனின் கதை 6 | ஊழியர்களிடம் எப்படி நடந்துகொள்வது சரி? கடினமாகவா, மென்மையாகவோ?"|https://www.puthiyathalaimurai.com/business/oru-vaniganin-kadhai-episode-6|வணிகம்|Neutral
"ஈகோ, அகிம்சை, ஊர் பாசம்... தனுஷின் இட்லிகடை சொல்வது என்ன? | Idli Kadai Review | Dhanush"|https://www.puthiyathalaimurai.com/cinema/movie-review/dhanushs-idli-kadai-review|திரை விமர்சனம்|Positive
சீனியர்களை அழைத்த பிசிசிஐ - வீரர்கள் நாடு திரும்பியதும் காத்திருக்கும் அதிரடி மாற்றங்கள்!|https://www.puthiyathalaimurai.com/sports/t20-world-cup-bcci-to-seek-rahul-dravid-rohit-sharma-and-virat-kohli-s-views-before-deciding-future-course-of-action-and-chief-selector-chetan-sharma-set-to-lose-his-job|விளையாட்டு|Neutral
"குஜராத் | பாலத்தில் வாகனங்கள் இருந்தும் சுவர் எழுப்பிய அதிகாரிகள்.."|https://www.puthiyathalaimurai.com/india/gujarat-officers-built-a-wall-even-though-there-were-vehicles-on-the-bridge|இந்தியா|Neutral
கொரோனா இரண்டாம் அலையில் பாதிப்புக்குள்ளாகும் குழந்தைகள்|https://www.puthiyathalaimurai.com/coronavirus/experts-warn-children-get-affected-mentally-during-corona-second-wave-lockdown|கொரோனா வைரஸ்|Neutral
"சட்டீஸ்கர் | 11 ஆண்டுகளுக்கு முன் உருவாக்கப்பட்ட க்ளோன் எருமை.. கிளம்பிய சந்தேகம்!"|https://www.puthiyathalaimurai.com/india/chhattisgarhs-wild-buffalo-clone-claimed-to-be-first-ever-11-years-back-embroils-in-scepticism|இந்தியா|Neutral
"Vanangaan | Game Changer | Madraskaaran - இந்த வார ஓடிடி, தியேட்டர் லிஸ்ட் இதோ!"|https://www.puthiyathalaimurai.com/cinema/ott-thiraiparvai/this-week-ott-and-theatre|ஓடிடி திரைப் பார்வை|Neutral
"ஜூலை 31, 2025 | இந்த ராசிக்கு மனதில் தைரியமும், தன்னம்பிக்கையும் அதிகரிக்கும்.. இன்றைய ராசிபலன்கள்!"|https://www.puthiyathalaimurai.com/spiritual/today-rasi-palan-july-31-2025|ஆன்மீகம்|Positive
“மூச்சு இரைச்சல் அதிகமா இருக்கா..”- கொரோனா சிகிச்சையும், திடீர் மாரடைப்பும்.. மருத்துவரின் விளக்கம்!|https://www.puthiyathalaimurai.com/health/cardiologist-explains-does-corona-vaccine-causes-heart-attacks|ஹெல்த்|Neutral
மனசு சொக்கத் தங்கம் சார்! ’400 ரன் சாதனை’.. லாராவுக்காக விட்டுக்கொடுத்த தெ.ஆப்ரிக்க கேப்டன்!|https://www.puthiyathalaimurai.com/sports/south-africa-captain-wiaan-mulder-on-why-he-did-not-go-for-brian-lara-400-run|விளையாட்டு|Positive
டெல்லி ராம்லீலா மைதானத்தில் விவசாயிகள் இன்று போராட்டம்|https://www.puthiyathalaimurai.com/agriculture/farmers-are-protesting-at-ramlila-maidan-today-|விவசாயம்|Neutral
கல்விக்கடன் வழங்கல்: வங்கி மேலாளர்களுக்கு தொழில்நுட்ப வசதி கேட்டு சு.வெங்கடேசன் கடிதம்|https://www.puthiyathalaimurai.com/technology/mp-su-venkatesan-letter-to-niramala-seetharaman-regarding-enabling-of-login-for-lead-district-managers|டெக்|Neutral
"மியான்மர் நிலநடுக்கம் | ”300 அணுகுண்டுகளின் தாக்கம்” - அமெரிக்க புவியியலாளர்!"|https://www.puthiyathalaimurai.com/world/deadly-myanmar-earthquake-unleashed-energy-of-334-atomic-bombs-report|உலகம்|Neutral
மத்திய கிழக்கு நாடுகளில் நிலவும் போர்பதற்றம் - இந்தியப் பங்குச் சந்தைகளில் கடும் வீழ்ச்சி!|https://www.puthiyathalaimurai.com/business/market/stock-market-crash-sensex-nifty-slump-in-early-trade-as-middle-east-conflict-deepens|மார்க்கெட்|Negative
50 தெருவிளக்குகளுக்கு தினமும் 200 யூனிட் - பசுமை மின் உற்பத்தியில் அசத்தும் வரதராஜபுரம்!|https://www.puthiyathalaimurai.com/features/200-units-per-day-for-50-street-lights-varadharajapuram-is-amazing-in-green-power-generation|சிறப்புக் களம்|Positive
மேற்கு வங்க துர்கா பூஜை.. வங்கதேசத்திலிருந்து வந்த ஹில்சா மீன்கள்.. சிறப்பு என்ன?|https://www.puthiyathalaimurai.com/world/bangladesh-sent-in-hilsa-fishes-to-india-for-durga-puja|உலகம்|Neutral
திமுகவில் புது பாய்ச்சல்.. தலைமையில் மிகப்பெரிய மாற்றம்.. தேர்தலுக்குள் போடும் திட்டம் என்ன?|https://www.puthiyathalaimurai.com/tamilnadu/biggest-changes-likely-going-to-happen-in-dmk|தமிழ்நாடு|Neutral
”சாய்ந்த சிவபெருமான் நிமிர்ந்தது எப்படி?” - வறுமைக்குள் அடங்கிவிடாத குங்கிலிய நாயனாரின் அசராத பக்தி!|https://www.puthiyathalaimurai.com/spiritual/story/kungliya-nayanar|கதைகள்|Positive
புதிதாக PF திட்டத்தில் சேருவோருக்கு ரூ.15,000 ஊக்கத் தொகை.. ELI திட்டம் அறிமுகம்!|https://www.puthiyathalaimurai.com/technology/rs-15000-incentives-under-eli-scheme-for-those-joining-new-pf-enrollees|டெக்|Neutral
பாஜக-க்கு எதிராக கோஷம் எழுப்பிய மாணவி சோபியா மீதான வழக்கை ரத்து செய்தது உயர்நீதிமன்ற மதுரைக்கிளை|https://www.puthiyathalaimurai.com/trending/the-madurai-court-quashed-the-case-registered-the-student-sophia-who-sought-against-the-bjp-party|டிரெண்டிங்|Neutral
"மறக்க முடியாத துணைக் கதாபாத்திரங்கள் | விஸ்வரூபம் 2 | ஆர்ப்பாட்டமில்லா தந்திர வில்லன் ‘ஈஸ்வர அய்யர்’"|https://www.puthiyathalaimurai.com/cinema/tamil-cinema-news/analysis-of-ananth-mahadevan-character-in-vishwaroopam-2|கோலிவுட் செய்திகள்|Positive
Form out - தொடரும் சோகமும்; விரக்தியான விராட் கோலியும்!|https://www.puthiyathalaimurai.com/sports/virat-kohli---s-current-struggles-are-painful-to-watch|விளையாட்டு|Negative
போலீசாரை தாக்கிவிட்டு தப்பிச் செல்ல முயன்ற குற்றவாளியை சுட்டுப்பிடித்த பெண் எஸ்ஐ|https://www.puthiyathalaimurai.com/crime/woman-si-shot-the-accused-who-attacked-the-police-and-tried-to-escape|குற்றம்|Negative
குறைந்தபட்ச ஆதரவு விலை திரும்பப்பெறப்படாது - நிதியமைச்சர் நிர்மலா சீதாராமன்|https://www.puthiyathalaimurai.com/agriculture/market-opened-up-to-farmers--msp-will-not-be-withdrawn--nirmala-sitharaman|விவசாயம்|Neutral
உலக சாதனைக்கு 3 சதங்களே மீதம்.. 12வது ODI சதம் விளாசினார் மந்தனா!|https://www.puthiyathalaimurai.com/sports/cricket/smriti-mandhana-hits-12th-odi-century-against-australia|கிரிக்கெட்|Positive
’என் காலத்தில் செய்திருந்தால் நடப்பதே வேறு..’ - ஆகாஷ் தீப்பை எச்சரித்த இங்கிலாந்து பயிற்சியாளர்!|https://www.puthiyathalaimurai.com/sports/cricket/england-coach-trescothick-warns-akash-deep-for-unwanted-send-off|கிரிக்கெட்|Neutral
"HEADLINES | அப்பட்டமான வரி தாக்குதல் என விமர்சித்த டிரம்ப் முதல் கனமழை பெய்ய வாய்ப்பு வரை!"|https://www.puthiyathalaimurai.com/india/june-28-2025-morning-headlines-news|இந்தியா|Negative
ரூ. 1,19,481 விலையில் அறிமுகமானது புதிய ‘2025 ஹோண்டா யுனிகார்ன்’|https://www.puthiyathalaimurai.com/motor/honda-launches-new-2025-unicorn|மோட்டார்|Neutral
என்ன முட்டாள்தனம்? இதுக்காகலாமா ₹8,800 வாங்குறது? கொந்தளித்த லண்டன் முதியவர்; என்ன ஆனது?|https://www.puthiyathalaimurai.com/trending/uk-man-fined-100-pound-for-leaving-car-just-3-inches-over-parking-spot|டிரெண்டிங்|Negative
உக்ரைன் போர் தீவிரம்: ரூபாய் மதிப்பு 40 காசுகள் வீழ்ச்சி|https://www.puthiyathalaimurai.com/business/rupee-value-depreciates-by-40-paise-due-to-ukraine-war|வணிகம்|Negative
தமிழகத்தில் பல்வேறு பகுதிகளில் வெளுத்து வாங்கிய கனமழை..!|https://www.puthiyathalaimurai.com/tamilnadu/very-heavy-rain-expected-in-5-districts-today-in-tamil-nadu|தமிழ்நாடு|Negative
"""கிழிஞ்ச நோட்டதான் கொடுப்பான்.. இந்த கட்சில மெம்பர்” - பயணியை தாக்க முயன்ற நடத்துநர்!"|https://www.puthiyathalaimurai.com/crime/i-will-give-you-a-torn-note--member-of-this-party--because-of-you-------conductor-tried-to-attack-the-passenger-|குற்றம்|Negative
புத்தாக்க தொழில்களில் தமிழகத்தை முன்னணி மாநிலமாக்குவோம் - முதல்வர் மு.க.ஸ்டாலின்|https://www.puthiyathalaimurai.com/business/we-will-make-tamil-nadu-a-leading-state-in-innovative-industries-says-chief-minister-mkstalin|வணிகம்|Positive
தூக்கத்தில் கனவுகளைப் பகிர்ந்து கொள்ளும் புதிய தொழில்நுட்பம்! சாதித்த ரெம்ஸ்பேஸ் நிறுவனம்!|https://www.puthiyathalaimurai.com/technology/remspace-says-two-people-communicated-in-their-dreams|டெக்|Positive
கேரளா: இந்தியாவிலேயே முதன்முறை... குரங்கம்மையின் புதிய வகை திரிபு!|https://www.puthiyathalaimurai.com/health/india-reports-first-mpox-clade-1-case-in-kerala-malappuram|ஹெல்த்|Neutral
“எது வாங்கினாலும் ரூ.15 தான்! ஆனா...” - 90’s நாஸ்டாலஜி விளையாட்டை கையிலெடுத்த 2K கிட்ஸ்!|https://www.puthiyathalaimurai.com/trending/bengaluru-kids-put-up-lemonade-stand-with-slash-sale|டிரெண்டிங்|Neutral
"அறிவோம் அறிவியல் 1 | பிரபஞ்சம், கேலக்ஸி, சூப்பர் நோவா உருவானது எப்படி?  சுவாரஸ்ய தகவல்கள்...!"|https://www.puthiyathalaimurai.com/technology/how-the-universe-was-formed|டெக்|Positive
``கொரோனாவுக்கான மாத்திரை விரைவில் விற்பனைக்கு வரும்!” - பைசர் நிறுவனம் நம்பிக்கை|https://www.puthiyathalaimurai.com/coronavirus/oral-drug-to-treat-coronavirus-could-be-ready-by-end-of-2021--says-pfizer-ceo|கொரோனா வைரஸ்|Neutral
”ஆவேசப்படுகிறோம்.. சாபம் விடுகிறோம்.. ஆனால் திராணி உள்ள ஒருவன்..”- சூர்யாவிற்கு ஆதரவாக இயக்குநர்கள்!|https://www.puthiyathalaimurai.com/cinema/directors-era-saravanan-seenu-ramasamy-commented-in-favor-of-suriya-kanguva-movie|சினிமா|Neutral
வேட்டையன் படத்தின் Real Hero: யார் இந்த நீதிபதி சத்யதேவ்? - முன்னாள் நீதியரசர் சந்துரு விளக்கம்|https://www.puthiyathalaimurai.com/cinema/who-is-the-judge-satyadev-the-real-hero-of-vettaiyan-movie|சினிமா|Neutral
தமிழகத்தில் தீவிரமாகும் வடகிழக்கு பருவமழை.. இரண்டு நாட்களுக்கு மிக கனமழைக்கு வாய்ப்பு|https://www.puthiyathalaimurai.com/tamilnadu/northeast-monsoon-intensifies-in-tamil-nadu-heavy-rain-likely-for-two-days|தமிழ்நாடு|Neutral
’இதனால் தான் அவர் ஸ்பெசல் பிளேயர்..’ காயத்துடன் அணிக்காக களமிறங்கிய ரிஷப் பண்ட்!|https://www.puthiyathalaimurai.com/sports/cricket/rishabh-pant-returns-to-bat-after-injury-in-4th-test-against-england|கிரிக்கெட்|Positive
செப்.30-ல் ஆட்சியர் அலுவலகங்களில் முற்றுகைப் போராட்டம் - விவசாய சங்கங்கள் அறிவிப்பு|https://www.puthiyathalaimurai.com/agriculture/thiruvarur-siege-protest-on-september-30-emphasizing-various-demands|விவசாயம்|Neutral
"""விசாரணை பார்த்து Werner Herzog சொன்னது..."" வெற்றிமாறன் பகிர்ந்த சம்பவம்! Vetrimaaran | Visaranai"|https://www.puthiyathalaimurai.com/cinema/tamil-cinema-news/vetrimaaran-shares-about-meeting-with-werner-herzog|கோலிவுட் செய்திகள்|Neutral
ஊருக்குள் வரும் சிறுத்தைகளைத் தடுப்பது எப்படி?|https://www.puthiyathalaimurai.com/features/why-leopard-attacks-continue-in-indiia-at-various-places-and-how-to-tackle-this-human-animal-conflict|சிறப்புக் களம்|Neutral
வாவ்வ்! எவ்ளோ க்யூட்டா இருக்கு..! மனைவியுடன் நாட்டுப்புற பாடலுக்கு நடனமாடிய தோனி! வைரல் வீடியோ!|https://www.puthiyathalaimurai.com/sports/cricket/dhoni-dances-to-a-folk-song-with-his-wife-in-a-viral-video|கிரிக்கெட்|Positive
"உலக தாய்ப்பால் வாரம் | “குழந்தைகளுக்கு தாய்ப்பால் கொடுப்பதால் அழகு குறையாது” – நடிகை சரண்யா"|https://www.puthiyathalaimurai.com/health/actress-saranya-ponvannan-creates-awareness-to-breast-feeding-moms|ஹெல்த்|Positive
"முந்தைய பட இயக்குநர்களை அவமானப்படுத்தினாரா துருவ்? |  Dhruv Vikram | Bison | Bala"|https://www.puthiyathalaimurai.com/cinema/tamil-cinema-news/did-dhruv-vikram-disgraced-his-previous-film-directors|கோலிவுட் செய்திகள்|Neutral
”இதுதான் BFF Goals” : உற்றத்தோழிக்காக கருவை சுமந்த பெண்.. ஒரு வாடகைத்தாயின் நெகிழ்ச்சி கதை|https://www.puthiyathalaimurai.com/trending/women-becomes-surrogate-mum-for-best-friend-who-can---t-carry-children-due-to-cancer|டிரெண்டிங்|Neutral
